Value,Identifier,Housing,Time Period
119.6,MV39,Public other new work,Apr to June 2009
133.5,MV39,Public other new work,July to Sept 2009
146.5,MV39,Public other new work,Oct to Dec 2009
163.4,MV39,Public other new work,Jan to Mar 2010
170.4,MV39,Public other new work,Apr to June 2010
164.7,MV39,Public other new work,July to Sept 2010
173.4,MV39,Public other new work,Oct to Dec 2010
173.6,MV39,Public other new work,Jan to Mar 2011
160.1,MV39,Public other new work,Apr to June 2011
147.2,MV39,Public other new work,July to Sept 2011
139.2,MV39,Public other new work,Oct to Dec 2011
133,MV39,Public other new work,Jan to Mar 2012
125.3,MV39,Public other new work,Apr to June 2012
117.3,MV39,Public other new work,July to Sept 2012
112.9,MV39,Public other new work,Oct to Dec 2012
109.5,MV39,Public other new work,Jan to Mar 2013
113.2,MV39,Public other new work,Apr to June 2013
113,MV39,Public other new work,July to Sept 2013
108.6,MV39,Public other new work,Oct to Dec 2013
107.7,MV39,Public other new work,Jan to Mar 2014
112.4,MV39,Public other new work,Apr to June 2014
112.5,MV39,Public other new work,July to Sept 2014
115.8,MV39,Public other new work,Oct to Dec 2014
110.6,MV39,Public other new work,Jan to Mar 2015
113.2,MV39,Public other new work,Apr to June 2015
112.9,MV39,Public other new work,July to Sept 2015
114.8,MV39,Public other new work,Oct to Dec 2015
112.1,MV39,Public other new work,Jan to Mar 2016
121.4,MV39,Public other new work,Apr to June 2016
118.1,MV39,Public other new work,July to Sept 2016
118.1,MV39,Public other new work,Oct to Dec 2016
119.7,MV39,Public other new work,Jan to Mar 2017
117.5,MV39,Public other new work,Apr to June 2017
109.6,MV39,Public other new work,July to Sept 2017
112.3,MV39,Public other new work,Oct to Dec 2017
99.8,MV39,Public other new work,Jan to Mar 2018
99.6,MV39,Public other new work,Apr to June 2018
104,MV39,Public other new work,July to Sept 2018
104.2,MV39,Public other new work,Oct to Dec 2018
102.9,MV39,Public other new work,Jan to Mar 2019
98.3,MV39,Public other new work,Apr to June 2019
98.7,MV39,Public other new work,July to Sept 2019
100.1,MV39,Public other new work,Oct to Dec 2019
102.5,MV39,Public other new work,Jan to Mar 2020
78.7,MV39,Public other new work,Apr to June 2020
89.9,MV39,Public other new work,July to Sept 2020
97.3,MV39,Public other new work,Oct to Dec 2020
95.1,MV39,Public other new work,Jan to Mar 2021
92.7,MV39,Public other new work,Apr to June 2021
88.8,MV39,Public other new work,July to Sept 2021
87.4,MV39,Public other new work,Oct to Dec 2021
83.3,MV39,Public other new work,Jan to Mar 2022
83.5,MV39,Public other new work,Apr to Jun 2022
77.8,MV39,Public other new work,Jul to Sep 2022
85.5,MV39,Public other new work,Oct to Dec 2022
85.7,MV39,Public other new work,Jan to Mar 2023
156.5,MV39,Public other new work,Jan 2010
161.1,MV39,Public other new work,Feb 2010
172.6,MV39,Public other new work,Mar 2010
171.8,MV39,Public other new work,Apr 2010
170,MV39,Public other new work,May 2010
169.3,MV39,Public other new work,Jun 2010
165,MV39,Public other new work,Jul 2010
165.4,MV39,Public other new work,Aug 2010
163.8,MV39,Public other new work,Sep 2010
179.5,MV39,Public other new work,Oct 2010
172,MV39,Public other new work,Nov 2010
168.6,MV39,Public other new work,Dec 2010
170.7,MV39,Public other new work,Jan 2011
178.7,MV39,Public other new work,Feb 2011
171.4,MV39,Public other new work,Mar 2011
163.6,MV39,Public other new work,Apr 2011
159.2,MV39,Public other new work,May 2011
157.4,MV39,Public other new work,Jun 2011
152.6,MV39,Public other new work,Jul 2011
144.7,MV39,Public other new work,Aug 2011
144.4,MV39,Public other new work,Sep 2011
132.8,MV39,Public other new work,Oct 2011
134.6,MV39,Public other new work,Nov 2011
150.3,MV39,Public other new work,Dec 2011
136.3,MV39,Public other new work,Jan 2012
131,MV39,Public other new work,Feb 2012
131.5,MV39,Public other new work,Mar 2012
130.6,MV39,Public other new work,Apr 2012
128.7,MV39,Public other new work,May 2012
116.6,MV39,Public other new work,Jun 2012
117.5,MV39,Public other new work,Jul 2012
117.1,MV39,Public other new work,Aug 2012
117.2,MV39,Public other new work,Sep 2012
116.1,MV39,Public other new work,Oct 2012
113.5,MV39,Public other new work,Nov 2012
108.9,MV39,Public other new work,Dec 2012
103.2,MV39,Public other new work,Jan 2013
112.3,MV39,Public other new work,Feb 2013
113,MV39,Public other new work,Mar 2013
111.9,MV39,Public other new work,Apr 2013
115.7,MV39,Public other new work,May 2013
112,MV39,Public other new work,Jun 2013
111.5,MV39,Public other new work,Jul 2013
110.7,MV39,Public other new work,Aug 2013
117,MV39,Public other new work,Sep 2013
108.9,MV39,Public other new work,Oct 2013
108.4,MV39,Public other new work,Nov 2013
108.3,MV39,Public other new work,Dec 2013
105,MV39,Public other new work,Jan 2014
107.5,MV39,Public other new work,Feb 2014
110.5,MV39,Public other new work,Mar 2014
115.6,MV39,Public other new work,Apr 2014
109.1,MV39,Public other new work,May 2014
112.6,MV39,Public other new work,Jun 2014
109.9,MV39,Public other new work,Jul 2014
113.9,MV39,Public other new work,Aug 2014
113.6,MV39,Public other new work,Sep 2014
117.9,MV39,Public other new work,Oct 2014
115.3,MV39,Public other new work,Nov 2014
114.1,MV39,Public other new work,Dec 2014
106.1,MV39,Public other new work,Jan 2015
114.9,MV39,Public other new work,Feb 2015
110.7,MV39,Public other new work,Mar 2015
111.8,MV39,Public other new work,Apr 2015
111.7,MV39,Public other new work,May 2015
115.9,MV39,Public other new work,Jun 2015
112.7,MV39,Public other new work,Jul 2015
110.8,MV39,Public other new work,Aug 2015
115.1,MV39,Public other new work,Sep 2015
113.5,MV39,Public other new work,Oct 2015
115.1,MV39,Public other new work,Nov 2015
116,MV39,Public other new work,Dec 2015
113.4,MV39,Public other new work,Jan 2016
112.1,MV39,Public other new work,Feb 2016
110.9,MV39,Public other new work,Mar 2016
122.1,MV39,Public other new work,Apr 2016
122.1,MV39,Public other new work,May 2016
119.9,MV39,Public other new work,Jun 2016
119.9,MV39,Public other new work,Jul 2016
118.4,MV39,Public other new work,Aug 2016
116.1,MV39,Public other new work,Sep 2016
114.3,MV39,Public other new work,Oct 2016
119.4,MV39,Public other new work,Nov 2016
120.5,MV39,Public other new work,Dec 2016
120.1,MV39,Public other new work,Jan 2017
119,MV39,Public other new work,Feb 2017
120.1,MV39,Public other new work,Mar 2017
119.6,MV39,Public other new work,Apr 2017
118.1,MV39,Public other new work,May 2017
114.7,MV39,Public other new work,Jun 2017
103.7,MV39,Public other new work,Jul 2017
114.2,MV39,Public other new work,Aug 2017
110.9,MV39,Public other new work,Sep 2017
110,MV39,Public other new work,Oct 2017
109.1,MV39,Public other new work,Nov 2017
117.8,MV39,Public other new work,Dec 2017
100.9,MV39,Public other new work,Jan 2018
98.9,MV39,Public other new work,Feb 2018
99.6,MV39,Public other new work,Mar 2018
96.4,MV39,Public other new work,Apr 2018
101.5,MV39,Public other new work,May 2018
101,MV39,Public other new work,Jun 2018
104.3,MV39,Public other new work,Jul 2018
103.9,MV39,Public other new work,Aug 2018
103.7,MV39,Public other new work,Sep 2018
111.5,MV39,Public other new work,Oct 2018
100.7,MV39,Public other new work,Nov 2018
100.3,MV39,Public other new work,Dec 2018
101,MV39,Public other new work,Jan 2019
103.6,MV39,Public other new work,Feb 2019
104.1,MV39,Public other new work,Mar 2019
99.8,MV39,Public other new work,Apr 2019
96.1,MV39,Public other new work,May 2019
98.9,MV39,Public other new work,Jun 2019
97.8,MV39,Public other new work,Jul 2019
97.9,MV39,Public other new work,Aug 2019
100.5,MV39,Public other new work,Sep 2019
97.6,MV39,Public other new work,Oct 2019
101.2,MV39,Public other new work,Nov 2019
101.5,MV39,Public other new work,Dec 2019
104.1,MV39,Public other new work,Jan 2020
104.7,MV39,Public other new work,Feb 2020
98.6,MV39,Public other new work,Mar 2020
75,MV39,Public other new work,Apr 2020
75.3,MV39,Public other new work,May 2020
85.9,MV39,Public other new work,Jun 2020
87.6,MV39,Public other new work,Jul 2020
91.4,MV39,Public other new work,Aug 2020
90.8,MV39,Public other new work,Sep 2020
98.5,MV39,Public other new work,Oct 2020
96.6,MV39,Public other new work,Nov 2020
96.8,MV39,Public other new work,Dec 2020
96.3,MV39,Public other new work,Jan 2021
93.9,MV39,Public other new work,Feb 2021
95,MV39,Public other new work,Mar 2021
96.5,MV39,Public other new work,Apr 2021
88.4,MV39,Public other new work,May 2021
93.2,MV39,Public other new work,Jun 2021
90.9,MV39,Public other new work,Jul 2021
87.3,MV39,Public other new work,Aug 2021
88.3,MV39,Public other new work,Sep 2021
88.3,MV39,Public other new work,Oct 2021
87.7,MV39,Public other new work,Nov 2021
86.2,MV39,Public other new work,Dec 2021
79.5,MV39,Public other new work,Jan 2022
85.5,MV39,Public other new work,Feb 2022
84.9,MV39,Public other new work,Mar 2022
84.4,MV39,Public other new work,Apr 2022
84.1,MV39,Public other new work,May 2022
82.1,MV39,Public other new work,Jun 2022
76.4,MV39,Public other new work,Jul 2022
77.9,MV39,Public other new work,Aug 2022
79,MV39,Public other new work,Sep 2022
80.3,MV39,Public other new work,Oct 2022
86.5,MV39,Public other new work,Nov 2022
89.8,MV39,Public other new work,Dec 2022
82.1,MV39,Public other new work,Jan 2023
84.7,MV39,Public other new work,Feb 2023
90.3,MV39,Public other new work,Mar 2023
88.4,MV39,Public other new work,Apr 2023
155,MV3A,Private industrial new work,1998
159.9,MV3A,Private industrial new work,1999
142.7,MV3A,Private industrial new work,2000
145.8,MV3A,Private industrial new work,2001
115.7,MV3A,Private industrial new work,2002
122.2,MV3A,Private industrial new work,2003
125.8,MV3A,Private industrial new work,2004
123.3,MV3A,Private industrial new work,2005
133.7,MV3A,Private industrial new work,2006
130.5,MV3A,Private industrial new work,2007
101,MV3A,Private industrial new work,2008
70.9,MV3A,Private industrial new work,2009
78.6,MV3A,Private industrial new work,2010
70.8,MV3A,Private industrial new work,2011
75.5,MV3A,Private industrial new work,2012
69.4,MV3A,Private industrial new work,2013
81.7,MV3A,Private industrial new work,2014
91.7,MV3A,Private industrial new work,2015
85.8,MV3A,Private industrial new work,2016
86.6,MV3A,Private industrial new work,2017
95.4,MV3A,Private industrial new work,2018
100,MV3A,Private industrial new work,2019
82,MV3A,Private industrial new work,2020
83,MV3A,Private industrial new work,2021
117.9,MV3A,Private industrial new work,2022
141.6,MV3A,Private industrial new work,Jan to Mar 1997
153,MV3A,Private industrial new work,Apr to June 1997
158.3,MV3A,Private industrial new work,July to Sept 1997
155.6,MV3A,Private industrial new work,Oct to Dec 1997
160.9,MV3A,Private industrial new work,Jan to Mar 1998
155.7,MV3A,Private industrial new work,Apr to June 1998
149.4,MV3A,Private industrial new work,July to Sept 1998
153.9,MV3A,Private industrial new work,Oct to Dec 1998
163.2,MV3A,Private industrial new work,Jan to Mar 1999
164.5,MV3A,Private industrial new work,Apr to June 1999
159.5,MV3A,Private industrial new work,July to Sept 1999
152.5,MV3A,Private industrial new work,Oct to Dec 1999
144.5,MV3A,Private industrial new work,Jan to Mar 2000
141.6,MV3A,Private industrial new work,Apr to June 2000
141,MV3A,Private industrial new work,July to Sept 2000
143.9,MV3A,Private industrial new work,Oct to Dec 2000
144.4,MV3A,Private industrial new work,Jan to Mar 2001
152.2,MV3A,Private industrial new work,Apr to June 2001
151.6,MV3A,Private industrial new work,July to Sept 2001
135.1,MV3A,Private industrial new work,Oct to Dec 2001
118.1,MV3A,Private industrial new work,Jan to Mar 2002
110.9,MV3A,Private industrial new work,Apr to June 2002
117.4,MV3A,Private industrial new work,July to Sept 2002
116.4,MV3A,Private industrial new work,Oct to Dec 2002
117.7,MV3A,Private industrial new work,Jan to Mar 2003
117.7,MV3A,Private industrial new work,Apr to June 2003
122.4,MV3A,Private industrial new work,July to Sept 2003
130.8,MV3A,Private industrial new work,Oct to Dec 2003
132.3,MV3A,Private industrial new work,Jan to Mar 2004
127.1,MV3A,Private industrial new work,Apr to June 2004
123.8,MV3A,Private industrial new work,July to Sept 2004
120,MV3A,Private industrial new work,Oct to Dec 2004
118,MV3A,Private industrial new work,Jan to Mar 2005
122.6,MV3A,Private industrial new work,Apr to June 2005
124.9,MV3A,Private industrial new work,July to Sept 2005
127.7,MV3A,Private industrial new work,Oct to Dec 2005
133.9,MV3A,Private industrial new work,Jan to Mar 2006
132.1,MV3A,Private industrial new work,Apr to June 2006
132.5,MV3A,Private industrial new work,July to Sept 2006
136.3,MV3A,Private industrial new work,Oct to Dec 2006
138.1,MV3A,Private industrial new work,Jan to Mar 2007
137.1,MV3A,Private industrial new work,Apr to June 2007
128.3,MV3A,Private industrial new work,July to Sept 2007
118.6,MV3A,Private industrial new work,Oct to Dec 2007
116.8,MV3A,Private industrial new work,Jan to Mar 2008
104.4,MV3A,Private industrial new work,Apr to June 2008
97,MV3A,Private industrial new work,July to Sept 2008
85.9,MV3A,Private industrial new work,Oct to Dec 2008
73.9,MV3A,Private industrial new work,Jan to Mar 2009
68.9,MV3A,Private industrial new work,Apr to June 2009
68,MV3A,Private industrial new work,July to Sept 2009
72.7,MV3A,Private industrial new work,Oct to Dec 2009
74.8,MV3A,Private industrial new work,Jan to Mar 2010
77.5,MV3A,Private industrial new work,Apr to June 2010
90.1,MV3A,Private industrial new work,July to Sept 2010
72,MV3A,Private industrial new work,Oct to Dec 2010
71.7,MV3A,Private industrial new work,Jan to Mar 2011
73.4,MV3A,Private industrial new work,Apr to June 2011
68.3,MV3A,Private industrial new work,July to Sept 2011
70,MV3A,Private industrial new work,Oct to Dec 2011
71.8,MV3A,Private industrial new work,Jan to Mar 2012
73.6,MV3A,Private industrial new work,Apr to June 2012
75.8,MV3A,Private industrial new work,July to Sept 2012
80.7,MV3A,Private industrial new work,Oct to Dec 2012
76.3,MV3A,Private industrial new work,Jan to Mar 2013
66.8,MV3A,Private industrial new work,Apr to June 2013
66.7,MV3A,Private industrial new work,July to Sept 2013
67.8,MV3A,Private industrial new work,Oct to Dec 2013
76,MV3A,Private industrial new work,Jan to Mar 2014
86.2,MV3A,Private industrial new work,Apr to June 2014
83.9,MV3A,Private industrial new work,July to Sept 2014
80.9,MV3A,Private industrial new work,Oct to Dec 2014
89.5,MV3A,Private industrial new work,Jan to Mar 2015
90.4,MV3A,Private industrial new work,Apr to June 2015
95.6,MV3A,Private industrial new work,July to Sept 2015
91.3,MV3A,Private industrial new work,Oct to Dec 2015
83.8,MV3A,Private industrial new work,Jan to Mar 2016
89.8,MV3A,Private industrial new work,Apr to June 2016
83.3,MV3A,Private industrial new work,July to Sept 2016
86.1,MV3A,Private industrial new work,Oct to Dec 2016
81.4,MV3A,Private industrial new work,Jan to Mar 2017
83.9,MV3A,Private industrial new work,Apr to June 2017
91.7,MV3A,Private industrial new work,July to Sept 2017
89.4,MV3A,Private industrial new work,Oct to Dec 2017
92,MV3A,Private industrial new work,Jan to Mar 2018
98.2,MV3A,Private industrial new work,Apr to June 2018
94.8,MV3A,Private industrial new work,July to Sept 2018
96.5,MV3A,Private industrial new work,Oct to Dec 2018
99.8,MV3A,Private industrial new work,Jan to Mar 2019
97.4,MV3A,Private industrial new work,Apr to June 2019
101.1,MV3A,Private industrial new work,July to Sept 2019
101.7,MV3A,Private industrial new work,Oct to Dec 2019
104.4,MV3A,Private industrial new work,Jan to Mar 2020
66.5,MV3A,Private industrial new work,Apr to June 2020
76.6,MV3A,Private industrial new work,July to Sept 2020
80.5,MV3A,Private industrial new work,Oct to Dec 2020
74.5,MV3A,Private industrial new work,Jan to Mar 2021
76.5,MV3A,Private industrial new work,Apr to June 2021
84.8,MV3A,Private industrial new work,July to Sept 2021
96,MV3A,Private industrial new work,Oct to Dec 2021
107.2,MV3A,Private industrial new work,Jan to Mar 2022
118.9,MV3A,Private industrial new work,Apr to Jun 2022
123.8,MV3A,Private industrial new work,Jul to Sep 2022
121.5,MV3A,Private industrial new work,Oct to Dec 2022
126.6,MV3A,Private industrial new work,Jan to Mar 2023
74,MV3A,Private industrial new work,Jan 2010
73.3,MV3A,Private industrial new work,Feb 2010
77,MV3A,Private industrial new work,Mar 2010
73.7,MV3A,Private industrial new work,Apr 2010
70.7,MV3A,Private industrial new work,May 2010
88.2,MV3A,Private industrial new work,Jun 2010
86.9,MV3A,Private industrial new work,Jul 2010
100.4,MV3A,Private industrial new work,Aug 2010
82.8,MV3A,Private industrial new work,Sep 2010
69.6,MV3A,Private industrial new work,Oct 2010
75.7,MV3A,Private industrial new work,Nov 2010
70.7,MV3A,Private industrial new work,Dec 2010
72.7,MV3A,Private industrial new work,Jan 2011
71.5,MV3A,Private industrial new work,Feb 2011
70.8,MV3A,Private industrial new work,Mar 2011
71.2,MV3A,Private industrial new work,Apr 2011
71.8,MV3A,Private industrial new work,May 2011
77.1,MV3A,Private industrial new work,Jun 2011
67.6,MV3A,Private industrial new work,Jul 2011
69.7,MV3A,Private industrial new work,Aug 2011
67.7,MV3A,Private industrial new work,Sep 2011
71.5,MV3A,Private industrial new work,Oct 2011
72.3,MV3A,Private industrial new work,Nov 2011
66,MV3A,Private industrial new work,Dec 2011
72.2,MV3A,Private industrial new work,Jan 2012
71.4,MV3A,Private industrial new work,Feb 2012
71.8,MV3A,Private industrial new work,Mar 2012
73.3,MV3A,Private industrial new work,Apr 2012
76.4,MV3A,Private industrial new work,May 2012
71.1,MV3A,Private industrial new work,Jun 2012
77.3,MV3A,Private industrial new work,Jul 2012
72.1,MV3A,Private industrial new work,Aug 2012
77.9,MV3A,Private industrial new work,Sep 2012
79.9,MV3A,Private industrial new work,Oct 2012
79.1,MV3A,Private industrial new work,Nov 2012
83.1,MV3A,Private industrial new work,Dec 2012
78.3,MV3A,Private industrial new work,Jan 2013
77.7,MV3A,Private industrial new work,Feb 2013
72.8,MV3A,Private industrial new work,Mar 2013
66.8,MV3A,Private industrial new work,Apr 2013
65.9,MV3A,Private industrial new work,May 2013
67.8,MV3A,Private industrial new work,Jun 2013
65.5,MV3A,Private industrial new work,Jul 2013
72.6,MV3A,Private industrial new work,Aug 2013
61.9,MV3A,Private industrial new work,Sep 2013
66.7,MV3A,Private industrial new work,Oct 2013
66.3,MV3A,Private industrial new work,Nov 2013
70.4,MV3A,Private industrial new work,Dec 2013
68.6,MV3A,Private industrial new work,Jan 2014
77.6,MV3A,Private industrial new work,Feb 2014
81.9,MV3A,Private industrial new work,Mar 2014
86.2,MV3A,Private industrial new work,Apr 2014
85.3,MV3A,Private industrial new work,May 2014
87.1,MV3A,Private industrial new work,Jun 2014
84.3,MV3A,Private industrial new work,Jul 2014
84,MV3A,Private industrial new work,Aug 2014
83.5,MV3A,Private industrial new work,Sep 2014
79.7,MV3A,Private industrial new work,Oct 2014
82.3,MV3A,Private industrial new work,Nov 2014
80.6,MV3A,Private industrial new work,Dec 2014
88.9,MV3A,Private industrial new work,Jan 2015
90.9,MV3A,Private industrial new work,Feb 2015
88.7,MV3A,Private industrial new work,Mar 2015
90.7,MV3A,Private industrial new work,Apr 2015
90.4,MV3A,Private industrial new work,May 2015
90,MV3A,Private industrial new work,Jun 2015
97.2,MV3A,Private industrial new work,Jul 2015
95.9,MV3A,Private industrial new work,Aug 2015
93.6,MV3A,Private industrial new work,Sep 2015
91.7,MV3A,Private industrial new work,Oct 2015
93.2,MV3A,Private industrial new work,Nov 2015
89.1,MV3A,Private industrial new work,Dec 2015
83.6,MV3A,Private industrial new work,Jan 2016
77.5,MV3A,Private industrial new work,Feb 2016
90.1,MV3A,Private industrial new work,Mar 2016
88.6,MV3A,Private industrial new work,Apr 2016
96,MV3A,Private industrial new work,May 2016
84.9,MV3A,Private industrial new work,Jun 2016
83,MV3A,Private industrial new work,Jul 2016
82.8,MV3A,Private industrial new work,Aug 2016
84.2,MV3A,Private industrial new work,Sep 2016
85.2,MV3A,Private industrial new work,Oct 2016
86.6,MV3A,Private industrial new work,Nov 2016
86.6,MV3A,Private industrial new work,Dec 2016
82.4,MV3A,Private industrial new work,Jan 2017
81.9,MV3A,Private industrial new work,Feb 2017
80,MV3A,Private industrial new work,Mar 2017
83.7,MV3A,Private industrial new work,Apr 2017
78.6,MV3A,Private industrial new work,May 2017
89.6,MV3A,Private industrial new work,Jun 2017
90.3,MV3A,Private industrial new work,Jul 2017
91.5,MV3A,Private industrial new work,Aug 2017
93.3,MV3A,Private industrial new work,Sep 2017
94.6,MV3A,Private industrial new work,Oct 2017
87.5,MV3A,Private industrial new work,Nov 2017
86.1,MV3A,Private industrial new work,Dec 2017
89.1,MV3A,Private industrial new work,Jan 2018
88.1,MV3A,Private industrial new work,Feb 2018
98.9,MV3A,Private industrial new work,Mar 2018
97.3,MV3A,Private industrial new work,Apr 2018
97.5,MV3A,Private industrial new work,May 2018
99.7,MV3A,Private industrial new work,Jun 2018
100.7,MV3A,Private industrial new work,Jul 2018
92.2,MV3A,Private industrial new work,Aug 2018
91.6,MV3A,Private industrial new work,Sep 2018
95.1,MV3A,Private industrial new work,Oct 2018
94.2,MV3A,Private industrial new work,Nov 2018
100.1,MV3A,Private industrial new work,Dec 2018
104.2,MV3A,Private industrial new work,Jan 2019
98,MV3A,Private industrial new work,Feb 2019
97.1,MV3A,Private industrial new work,Mar 2019
97.8,MV3A,Private industrial new work,Apr 2019
99.1,MV3A,Private industrial new work,May 2019
95.3,MV3A,Private industrial new work,Jun 2019
97.7,MV3A,Private industrial new work,Jul 2019
103.8,MV3A,Private industrial new work,Aug 2019
101.9,MV3A,Private industrial new work,Sep 2019
100.2,MV3A,Private industrial new work,Oct 2019
104.7,MV3A,Private industrial new work,Nov 2019
100.2,MV3A,Private industrial new work,Dec 2019
104.9,MV3A,Private industrial new work,Jan 2020
104.5,MV3A,Private industrial new work,Feb 2020
103.8,MV3A,Private industrial new work,Mar 2020
60,MV3A,Private industrial new work,Apr 2020
64.4,MV3A,Private industrial new work,May 2020
75,MV3A,Private industrial new work,Jun 2020
75.9,MV3A,Private industrial new work,Jul 2020
77.2,MV3A,Private industrial new work,Aug 2020
76.6,MV3A,Private industrial new work,Sep 2020
82.2,MV3A,Private industrial new work,Oct 2020
83.7,MV3A,Private industrial new work,Nov 2020
75.7,MV3A,Private industrial new work,Dec 2020
71.1,MV3A,Private industrial new work,Jan 2021
75.4,MV3A,Private industrial new work,Feb 2021
77,MV3A,Private industrial new work,Mar 2021
79.2,MV3A,Private industrial new work,Apr 2021
72.3,MV3A,Private industrial new work,May 2021
78.1,MV3A,Private industrial new work,Jun 2021
83.4,MV3A,Private industrial new work,Jul 2021
84.1,MV3A,Private industrial new work,Aug 2021
87,MV3A,Private industrial new work,Sep 2021
91.3,MV3A,Private industrial new work,Oct 2021
95.6,MV3A,Private industrial new work,Nov 2021
100.9,MV3A,Private industrial new work,Dec 2021
103.8,MV3A,Private industrial new work,Jan 2022
102.7,MV3A,Private industrial new work,Feb 2022
115,MV3A,Private industrial new work,Mar 2022
116.3,MV3A,Private industrial new work,Apr 2022
120.2,MV3A,Private industrial new work,May 2022
120.3,MV3A,Private industrial new work,Jun 2022
123.7,MV3A,Private industrial new work,Jul 2022
125.2,MV3A,Private industrial new work,Aug 2022
122.5,MV3A,Private industrial new work,Sep 2022
119.5,MV3A,Private industrial new work,Oct 2022
125.1,MV3A,Private industrial new work,Nov 2022
120,MV3A,Private industrial new work,Dec 2022
123.1,MV3A,Private industrial new work,Jan 2023
126.8,MV3A,Private industrial new work,Feb 2023
130,MV3A,Private industrial new work,Mar 2023
131.3,MV3A,Private industrial new work,Apr 2023
91.4,MV3B,Private commercial new work,1998
102.3,MV3B,Private commercial new work,1999
103.1,MV3B,Private commercial new work,2000
102.3,MV3B,Private commercial new work,2001
105.7,MV3B,Private commercial new work,2002
101.9,MV3B,Private commercial new work,2003
112.3,MV3B,Private commercial new work,2004
107.5,MV3B,Private commercial new work,2005
116.6,MV3B,Private commercial new work,2006
128.4,MV3B,Private commercial new work,2007
129.9,MV3B,Private commercial new work,2008
97.3,MV3B,Private commercial new work,2009
95.3,MV3B,Private commercial new work,2010
96.6,MV3B,Private commercial new work,2011
86.8,MV3B,Private commercial new work,2012
87.5,MV3B,Private commercial new work,2013
93.3,MV3B,Private commercial new work,2014
95.8,MV3B,Private commercial new work,2015
103.2,MV3B,Private commercial new work,2016
109.6,MV3B,Private commercial new work,2017
102,MV3B,Private commercial new work,2018
100,MV3B,Private commercial new work,2019
78.2,MV3B,Private commercial new work,2020
72.5,MV3B,Private commercial new work,2021
71.9,MV3B,Private commercial new work,2022
84.8,MV3B,Private commercial new work,Jan to Mar 1997
85.8,MV3B,Private commercial new work,Apr to June 1997
83,MV3B,Private commercial new work,July to Sept 1997
83.5,MV3B,Private commercial new work,Oct to Dec 1997
85.7,MV3B,Private commercial new work,Jan to Mar 1998
88,MV3B,Private commercial new work,Apr to June 1998
98.1,MV3B,Private commercial new work,July to Sept 1998
93.6,MV3B,Private commercial new work,Oct to Dec 1998
97.2,MV3B,Private commercial new work,Jan to Mar 1999
101.2,MV3B,Private commercial new work,Apr to June 1999
104.6,MV3B,Private commercial new work,July to Sept 1999
106.2,MV3B,Private commercial new work,Oct to Dec 1999
104.3,MV3B,Private commercial new work,Jan to Mar 2000
104.3,MV3B,Private commercial new work,Apr to June 2000
101.5,MV3B,Private commercial new work,July to Sept 2000
102.3,MV3B,Private commercial new work,Oct to Dec 2000
103.1,MV3B,Private commercial new work,Jan to Mar 2001
100.3,MV3B,Private commercial new work,Apr to June 2001
100.5,MV3B,Private commercial new work,July to Sept 2001
105.5,MV3B,Private commercial new work,Oct to Dec 2001
104.8,MV3B,Private commercial new work,Jan to Mar 2002
104.9,MV3B,Private commercial new work,Apr to June 2002
106.5,MV3B,Private commercial new work,July to Sept 2002
106.6,MV3B,Private commercial new work,Oct to Dec 2002
100.9,MV3B,Private commercial new work,Jan to Mar 2003
99.7,MV3B,Private commercial new work,Apr to June 2003
101,MV3B,Private commercial new work,July to Sept 2003
105.9,MV3B,Private commercial new work,Oct to Dec 2003
111.3,MV3B,Private commercial new work,Jan to Mar 2004
113.9,MV3B,Private commercial new work,Apr to June 2004
113.4,MV3B,Private commercial new work,July to Sept 2004
110.7,MV3B,Private commercial new work,Oct to Dec 2004
108.9,MV3B,Private commercial new work,Jan to Mar 2005
108.2,MV3B,Private commercial new work,Apr to June 2005
105.9,MV3B,Private commercial new work,July to Sept 2005
106.9,MV3B,Private commercial new work,Oct to Dec 2005
111.3,MV3B,Private commercial new work,Jan to Mar 2006
113.7,MV3B,Private commercial new work,Apr to June 2006
118.5,MV3B,Private commercial new work,July to Sept 2006
123.1,MV3B,Private commercial new work,Oct to Dec 2006
125.4,MV3B,Private commercial new work,Jan to Mar 2007
128.1,MV3B,Private commercial new work,Apr to June 2007
127.7,MV3B,Private commercial new work,July to Sept 2007
132.3,MV3B,Private commercial new work,Oct to Dec 2007
136,MV3B,Private commercial new work,Jan to Mar 2008
131.2,MV3B,Private commercial new work,Apr to June 2008
131.3,MV3B,Private commercial new work,July to Sept 2008
121,MV3B,Private commercial new work,Oct to Dec 2008
109.7,MV3B,Private commercial new work,Jan to Mar 2009
103,MV3B,Private commercial new work,Apr to June 2009
92.2,MV3B,Private commercial new work,July to Sept 2009
84.3,MV3B,Private commercial new work,Oct to Dec 2009
92.8,MV3B,Private commercial new work,Jan to Mar 2010
94.6,MV3B,Private commercial new work,Apr to June 2010
99.6,MV3B,Private commercial new work,July to Sept 2010
94.2,MV3B,Private commercial new work,Oct to Dec 2010
92.9,MV3B,Private commercial new work,Jan to Mar 2011
97,MV3B,Private commercial new work,Apr to June 2011
97.5,MV3B,Private commercial new work,July to Sept 2011
99.1,MV3B,Private commercial new work,Oct to Dec 2011
89.2,MV3B,Private commercial new work,Jan to Mar 2012
90.8,MV3B,Private commercial new work,Apr to June 2012
82.7,MV3B,Private commercial new work,July to Sept 2012
84.8,MV3B,Private commercial new work,Oct to Dec 2012
85.5,MV3B,Private commercial new work,Jan to Mar 2013
